,migration_id,ver2_file_path,ver2_tree_path,ver2_signature,method_ver2
0,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/exception/HttpClientException.java,HttpClientException,"HttpClientException__(String message, Throwable cause)","public HttpClientException(String message, Throwable cause) {
    super(message, cause);
}"
1,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpDelete.java,HttpDelete,getMethod__(),"public String getMethod() {
    return METHOD_NAME;
}"
2,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpDelete.java,HttpDelete,HttpDelete__(final String uri),"public HttpDelete(final String uri) {
    super();
    setURI(URI.create(uri));
}"
3,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"get__(String url, Class<T> responseType)","public <T> T get(String url, Class<T> responseType) {
    CloseableHttpClient httpClient = HttpClients.createDefault();
    HttpGet httpGet = new HttpGet(url);
    CloseableHttpResponse response = null;
    try {
        response = httpClient.execute(httpGet);
        HttpEntity httpEntity = response.getEntity();
        T result = new Gson().fromJson(EntityUtils.toString(httpEntity, DEFAULT_CHARSET), responseType);
        EntityUtils.consume(httpEntity);
        return result;
    } catch (IOException e) {
        throw new HttpClientException(e.getMessage(), e);
    } finally {
        try {
            if (response != null) {
                response.close();
            }
        } catch (IOException e) {
            //ignore
        }
    }
}"
4,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"post__(String url, List<Header> headers, Object request, Class<T> responseType)","public <T> T post(String url, List<Header> headers, Object request, Class<T> responseType) {
    HttpPost httpPost = new HttpPost(url);
    for (Header header : headers) {
        httpPost.addHeader(header);
    }
    return this.exchange(httpPost, request, responseType);
}"
5,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"put__(String url, List<Header> headers, Object request, Class<T> responseType)","public <T> T put(String url, List<Header> headers, Object request, Class<T> responseType) {
    HttpPut httpPut = new HttpPut(url);
    for (Header header : headers) {
        httpPut.addHeader(header);
    }
    return this.exchange(httpPut, request, responseType);
}"
6,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"delete__(String url, List<Header> headers, Object request, Class<T> responseType)","public <T> T delete(String url, List<Header> headers, Object request, Class<T> responseType) {
    HttpDelete httpDelete = new HttpDelete(url);
    for (Header header : headers) {
        httpDelete.addHeader(header);
    }
    return this.exchange(httpDelete, request, responseType);
}"
7,iyzico_iyzipay-java__4cb3ff7df2a0e21bfbaf942bd96e18318c619311__4cb3ff7df2a0e21bfbaf942bd96e18318c619311,src/main/java/com/iyzipay/HttpClient.java,HttpClient,"exchange__(HttpEntityEnclosingRequestBase httpMethod, Object request, Class<T> responseType)","private <T> T exchange(HttpEntityEnclosingRequestBase httpMethod, Object request, Class<T> responseType) {
    CloseableHttpClient httpClient = HttpClients.createDefault();
    Gson gson = new Gson();
    CloseableHttpResponse response = null;
    String body = gson.toJson(request);
    try {
        StringEntity requestEntity = new StringEntity(body, ContentType.APPLICATION_JSON);
        requestEntity.setContentEncoding(DEFAULT_CHARSET);
        httpMethod.setEntity(requestEntity);
        response = httpClient.execute(httpMethod);
        HttpEntity responseEntity = response.getEntity();
        T result = gson.fromJson(EntityUtils.toString(responseEntity, DEFAULT_CHARSET), responseType);
        EntityUtils.consume(responseEntity);
        return result;
    } catch (UnsupportedEncodingException e) {
        throw new HttpClientException(e.getMessage(), e);
    } catch (ClientProtocolException e) {
        throw new HttpClientException(e.getMessage(), e);
    } catch (IOException e) {
        throw new HttpClientException(e.getMessage(), e);
    } finally {
        try {
            if (response != null) {
                response.close();
            }
        } catch (IOException e) {
            //ignore
        }
    }
}"
8,ForgeRock_openidm-community-edition__43689602ee8a67deb29ea8412c48410dcaa6b30a__43689602ee8a67deb29ea8412c48410dcaa6b30a,openidm-shell/src/main/java/org/forgerock/openidm/shell/felixgogo/debug/InteractiveObjectSetService.java,InteractiveObjectSetService,"InteractiveObjectSetService__(final Thread parent, BundleContext context, CommandSession session)","public InteractiveObjectSetService(final Thread parent, BundleContext context, CommandSession session) {
    this.parent = parent;
    this.context = context;
    this.session = session;
    ServiceReference ref = context.getServiceReference(ROUTER_SERVICE_FILTER);
    if (null != ref) {
        router = (ObjectSet) context.getService(ref);
    }
    //TODO block the console read
    this.console = session.getConsole();
    this.keyboard = session.getKeyboard();
}"
9,ForgeRock_openidm-community-edition__43689602ee8a67deb29ea8412c48410dcaa6b30a__43689602ee8a67deb29ea8412c48410dcaa6b30a,openidm-shell/src/main/java/org/forgerock/openidm/shell/felixgogo/debug/InteractiveObjectSetService.java,InteractiveObjectSetService,"create__(String id, Map<String, Object> object)","public void create(String id, Map<String, Object> object) throws ObjectSetException {
    console.append(""CALL: create("").append(id).append("","");
    if (null == object) {
        console.println(""null)"");
    } else {
        try {
            mapper.writerWithDefaultPrettyPrinter().writeValue(console, object);
            console.println("")"");
        } catch (IOException e) {
            console.append(""Input object serialization exception: "").println(e.getMessage());
        }
    }

    console.println(""Available commands:"");
    console.println(""input:router"");
    console.println(""input:file"");
    console.println(""input:console"");

}"
