id,repo_name,start_commit,end_commit,migration_info,start_commit_existed,end_commit_exitsted,oke,prev_commit
Flipkart_phantom__1fdac2a76bbd0cd5757adcbdccb9bf975f92baac__1fdac2a76bbd0cd5757adcbdccb9bf975f92baac,Flipkart_phantom,1fdac2a76bbd0cd5757adcbdccb9bf975f92baac,1fdac2a76bbd0cd5757adcbdccb9bf975f92baac,"{'start_commit_changes': '+org.apache.logging.log4j:log4j-1.2-api\n+org.apache.logging.log4j:log4j-api\n+org.apache.logging.log4j:log4j-slf4j-impl\n+org.apache.logging.log4j:log4j-core\n-org.slf4j:jcl-over-slf4j\n-org.slf4j:slf4j-api\n-org.slf4j:slf4j-log4j12', 'end_commit_changes': '+org.apache.logging.log4j:log4j-1.2-api\n+org.apache.logging.log4j:log4j-api\n+org.apache.logging.log4j:log4j-slf4j-impl\n+org.apache.logging.log4j:log4j-core\n-org.slf4j:jcl-over-slf4j\n-org.slf4j:slf4j-api\n-org.slf4j:slf4j-log4j12', 'start_commit_message': 'Changes to move to Trooper 2.0.0 and replace logback with log4j2', 'end_commit_message': 'Changes to move to Trooper 2.0.0 and replace logback with log4j2', 'start_commit_time': '2016-05-23', 'end_commit_time': '2016-05-23', 'lib_pairs': [{'from_lib': 'org.slf4j:jcl-over-slf4j', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'dashboard/pom.xml', 'category': 11}, {'from_lib': 'org.slf4j:jcl-over-slf4j', 'to_lib': 'org.apache.logging.log4j:log4j-core', 'pom_file': 'dashboard/pom.xml', 'category': 11}, {'from_lib': 'org.slf4j:jcl-over-slf4j', 'to_lib': 'org.apache.logging.log4j:log4j-slf4j-impl', 'pom_file': 'dashboard/pom.xml', 'category': 11}, {'from_lib': 'org.slf4j:slf4j-api', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'dashboard/pom.xml', 'category': 11}, {'from_lib': 'org.slf4j:slf4j-api', 'to_lib': 'org.apache.logging.log4j:log4j-core', 'pom_file': 'dashboard/pom.xml', 'category': 11}, {'from_lib': 'org.slf4j:slf4j-api', 'to_lib': 'org.apache.logging.log4j:log4j-slf4j-impl', 'pom_file': 'dashboard/pom.xml', 'category': 11}, {'from_lib': 'org.slf4j:slf4j-log4j12', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'dashboard/pom.xml', 'category': 11}, {'from_lib': 'org.slf4j:slf4j-log4j12', 'to_lib': 'org.apache.logging.log4j:log4j-core', 'pom_file': 'dashboard/pom.xml', 'category': 11}, {'from_lib': 'org.slf4j:slf4j-log4j12', 'to_lib': 'org.apache.logging.log4j:log4j-slf4j-impl', 'pom_file': 'dashboard/pom.xml', 'category': 11}]}",True,True,True,a2cff91a4e1a05577d7fa27f42bddf490bb68b9e
ForgeRock_openidm-community-edition__43689602ee8a67deb29ea8412c48410dcaa6b30a__43689602ee8a67deb29ea8412c48410dcaa6b30a,ForgeRock_openidm-community-edition,43689602ee8a67deb29ea8412c48410dcaa6b30a,43689602ee8a67deb29ea8412c48410dcaa6b30a,"{'start_commit_changes': '+org.forgerock.openidm:openidm-core\n+org.apache.felix:org.apache.felix.scr.annotations\n+org.restlet.jee:org.restlet.ext.jackson\n+org.forgerock.openidm:openidm-external-rest\n+asm:asm-all\n-javassist:javassist', 'end_commit_changes': '+org.forgerock.openidm:openidm-core\n+org.apache.felix:org.apache.felix.scr.annotations\n+org.restlet.jee:org.restlet.ext.jackson\n+org.forgerock.openidm:openidm-external-rest\n+asm:asm-all\n-javassist:javassist', 'start_commit_message': '[OPENIDM-435] initial implementation of a plug able tool. Validating the conf folder: ./openidm.sh local:validate\nMove all connectors to connectors folder and not deploy as bundle\nAdd a utile method to the external-rest to create the Restlet client <Not in use now>\nAdd a remote JSON Resource API implementation frame <Subject of change>\n', 'end_commit_message': '[OPENIDM-435] initial implementation of a plug able tool. Validating the conf folder: ./openidm.sh local:validate\nMove all connectors to connectors folder and not deploy as bundle\nAdd a utile method to the external-rest to create the Restlet client <Not in use now>\nAdd a remote JSON Resource API implementation frame <Subject of change>\n', 'start_commit_time': '2011-12-07', 'end_commit_time': '2011-12-07', 'lib_pairs': [{'from_lib': 'javassist:javassist', 'to_lib': 'asm:asm-all', 'pom_file': 'openidm-shell/pom.xml', 'category': 5}]}",True,True,True,037ff10446b4c77db394cecbb447a604b394d599
JakduK_jakduk-api__e586faf9633439ea6bd46006612574a33d1010e9__e586faf9633439ea6bd46006612574a33d1010e9,JakduK_jakduk-api,e586faf9633439ea6bd46006612574a33d1010e9,e586faf9633439ea6bd46006612574a33d1010e9,"{'start_commit_changes': '+javax.servlet:jstl\n+javax.servlet:javax.servlet-api\n+javax.servlet.jsp:javax.servlet.jsp-api\n-javax.servlet:servlet-api\n-javax.servlet.jsp:jsp-api\n-jstl:jstl', 'end_commit_changes': '+javax.servlet:jstl\n+javax.servlet:javax.servlet-api\n+javax.servlet.jsp:javax.servlet.jsp-api\n-javax.servlet:servlet-api\n-javax.servlet.jsp:jsp-api\n-jstl:jstl', 'start_commit_message': 'version 0.1.0\n- fixed bug for OAuth authentication process.\n- email max length increase 30 char.\n- session timeout set 3 days.\n- upgrade bootstrap version 3.3.0\n- update servlet-api version 3.1.0\n- modify log4j date format.', 'end_commit_message': 'version 0.1.0\n- fixed bug for OAuth authentication process.\n- email max length increase 30 char.\n- session timeout set 3 days.\n- upgrade bootstrap version 3.3.0\n- update servlet-api version 3.1.0\n- modify log4j date format.', 'start_commit_time': '2014-11-13', 'end_commit_time': '2014-11-13', 'lib_pairs': [{'from_lib': 'jstl:jstl', 'to_lib': 'javax.servlet:jstl', 'pom_file': 'pom.xml', 'category': 66}]}",True,True,True,5faf2127c54a3a74ddcf4ac3487b76a6d892d3dc
NukkitX_Nukkit__542354be77c337f5749a379281773038b750779f__542354be77c337f5749a379281773038b750779f,NukkitX_Nukkit,542354be77c337f5749a379281773038b750779f,542354be77c337f5749a379281773038b750779f,"{'start_commit_changes': '+org.jline:jline-terminal\n+org.apache.logging.log4j:log4j-core\n+org.apache.logging.log4j:log4j-api\n+org.jline:jline-reader\n+org.apache.logging.log4j:log4j-slf4j-impl\n+net.sf.jopt-simple:jopt-simple\n-org.junit.platform:junit-platform-surefire-provider\n-jline:jline\n-org.slf4j:slf4j-nop', 'end_commit_changes': '+org.jline:jline-terminal\n+org.apache.logging.log4j:log4j-core\n+org.apache.logging.log4j:log4j-api\n+org.jline:jline-reader\n+org.apache.logging.log4j:log4j-slf4j-impl\n+net.sf.jopt-simple:jopt-simple\n-org.junit.platform:junit-platform-surefire-provider\n-jline:jline\n-org.slf4j:slf4j-nop', 'start_commit_message': 'Moved all events, commands and some plugin classes over to the API.\nRewritten server properties and whitelist to use Jackson deserializer for a cleaner implementation.\nRewritten console. Now using jLine 3\n', 'end_commit_message': 'Moved all events, commands and some plugin classes over to the API.\nRewritten server properties and whitelist to use Jackson deserializer for a cleaner implementation.\nRewritten console. Now using jLine 3\n', 'start_commit_time': '2017-12-06', 'end_commit_time': '2017-12-06', 'lib_pairs': [{'from_lib': 'jline:jline', 'to_lib': 'org.jline:jline-reader', 'pom_file': 'server/pom.xml', 'category': 71}, {'from_lib': 'jline:jline', 'to_lib': 'org.jline:jline-terminal', 'pom_file': 'server/pom.xml', 'category': 71}, {'from_lib': 'org.slf4j:slf4j-nop', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'server/pom.xml', 'category': 11}]}",True,True,True,01e3ed2941c95c45f7a20192136675eaf238ad6e
OpenNMS_opennms__c1d8968c36c055ff523726375f912f796ffec836__c1d8968c36c055ff523726375f912f796ffec836,OpenNMS_opennms,c1d8968c36c055ff523726375f912f796ffec836,c1d8968c36c055ff523726375f912f796ffec836,"{'start_commit_changes': '+org.hibernate.common:hibernate-commons-annotations\n-org.hibernate:ejb3-persistence\n-org.hibernate:hibernate-annotations\n-org.hibernate:hibernate-commons-annotations', 'end_commit_changes': '+org.hibernate.common:hibernate-commons-annotations\n-org.hibernate:ejb3-persistence\n-org.hibernate:hibernate-annotations\n-org.hibernate:hibernate-commons-annotations', 'start_commit_message': 'Updated Hibernate to 4.1.12 and Spring to 3.1.4. Added some concrete\ndependencies to things that used to be pulled in as transitive\ndependencies.\n', 'end_commit_message': 'Updated Hibernate to 4.1.12 and Spring to 3.1.4. Added some concrete\ndependencies to things that used to be pulled in as transitive\ndependencies.\n', 'start_commit_time': '2013-05-16', 'end_commit_time': '2013-05-16', 'lib_pairs': [{'from_lib': 'org.hibernate:hibernate-annotations', 'to_lib': 'org.hibernate.common:hibernate-commons-annotations', 'pom_file': 'dependencies/hibernate/pom.xml', 'category': 93}, {'from_lib': 'org.hibernate:hibernate-commons-annotations', 'to_lib': 'org.hibernate.common:hibernate-commons-annotations', 'pom_file': 'dependencies/hibernate/pom.xml', 'category': 93}]}",True,True,True,a59e27f935aad70a7d9687a6eb7cbae0abb281bc
RBGKew_Reconciliation-and-Matching-Framework__bdc0ee4fa8a1c1ecc4c73e9bc157832bac561533__bdc0ee4fa8a1c1ecc4c73e9bc157832bac561533,RBGKew_Reconciliation-and-Matching-Framework,bdc0ee4fa8a1c1ecc4c73e9bc157832bac561533,bdc0ee4fa8a1c1ecc4c73e9bc157832bac561533,"{'start_commit_changes': '+com.fasterxml.jackson.core:jackson-databind\n-org.codehaus.jackson:jackson-mapper-asl', 'end_commit_changes': '+com.fasterxml.jackson.core:jackson-databind\n-org.codehaus.jackson:jackson-mapper-asl', 'start_commit_message': 'Update java and spring\n\n* AspectJ to 1.8.10\n* Jackson to 2.8.7\n* Java to 1.8\n* Spring roo to 1.3.2\n* Spring to 4.3.7\n', 'end_commit_message': 'Update java and spring\n\n* AspectJ to 1.8.10\n* Jackson to 2.8.7\n* Java to 1.8\n* Spring roo to 1.3.2\n* Spring to 4.3.7\n', 'start_commit_time': '2017-04-07', 'end_commit_time': '2017-04-07', 'lib_pairs': [{'from_lib': 'org.codehaus.jackson:jackson-mapper-asl', 'to_lib': 'com.fasterxml.jackson.core:jackson-databind', 'pom_file': 'reconciliation-service-model/pom.xml', 'category': 12}]}",True,True,True,185968ad27bbe34c606c7c4cae0556399f295825
SeqWare_seqware__289947f7719911a70d398c3df5a07906fc667bf3__289947f7719911a70d398c3df5a07906fc667bf3,SeqWare_seqware,289947f7719911a70d398c3df5a07906fc667bf3,289947f7719911a70d398c3df5a07906fc667bf3,"{'start_commit_changes': '+org.apache.commons:commons-compress\n+com.fasterxml.jackson.dataformat:jackson-dataformat-yaml\n+com.google.code.findbugs:jsr305\n+org.yaml:snakeyaml\n+asm:asm\n+com.fasterxml.jackson.core:jackson-core\n+org.raml:raml-parser\n+com.fasterxml.jackson.core:jackson-databind\n+commons-collections:commons-collections\n+commons-digester:commons-digester\n+com.fasterxml.jackson.core:jackson-annotations\n-ch.enterag:zip64\n-org.codehaus.jackson:jackson-xc\n-org.codehaus.jackson:jackson-jaxrs', 'end_commit_changes': '+org.apache.commons:commons-compress\n+com.fasterxml.jackson.dataformat:jackson-dataformat-yaml\n+com.google.code.findbugs:jsr305\n+org.yaml:snakeyaml\n+asm:asm\n+com.fasterxml.jackson.core:jackson-core\n+org.raml:raml-parser\n+com.fasterxml.jackson.core:jackson-databind\n+commons-collections:commons-collections\n+commons-digester:commons-digester\n+com.fasterxml.jackson.core:jackson-annotations\n-ch.enterag:zip64\n-org.codehaus.jackson:jackson-xc\n-org.codehaus.jackson:jackson-jaxrs', 'start_commit_message': 'Feature/update more dependencies (#342)\n\n* Restlet 2.3.7, AWS, jersey Jackson update\n* org.codehaus.jackson still used by some dependencies instead of com.fasterxml.jackson\n* Make zip64 library more standard by using commons-compress instead of odd rare library\n* can now use standard Linux tools like unzip to view bundles\n* New tools are still compatible with old bundles\n', 'end_commit_message': 'Feature/update more dependencies (#342)\n\n* Restlet 2.3.7, AWS, jersey Jackson update\n* org.codehaus.jackson still used by some dependencies instead of com.fasterxml.jackson\n* Make zip64 library more standard by using commons-compress instead of odd rare library\n* can now use standard Linux tools like unzip to view bundles\n* New tools are still compatible with old bundles\n', 'start_commit_time': '2016-07-15', 'end_commit_time': '2016-07-15', 'lib_pairs': [{'from_lib': 'org.codehaus.jackson:jackson-jaxrs', 'to_lib': 'com.fasterxml.jackson.core:jackson-annotations', 'pom_file': 'pom.xml', 'category': 12}, {'from_lib': 'org.codehaus.jackson:jackson-jaxrs', 'to_lib': 'com.fasterxml.jackson.core:jackson-core', 'pom_file': 'pom.xml', 'category': 12}, {'from_lib': 'org.codehaus.jackson:jackson-jaxrs', 'to_lib': 'com.fasterxml.jackson.core:jackson-databind', 'pom_file': 'pom.xml', 'category': 12}, {'from_lib': 'org.codehaus.jackson:jackson-xc', 'to_lib': 'com.fasterxml.jackson.core:jackson-annotations', 'pom_file': 'pom.xml', 'category': 12}, {'from_lib': 'org.codehaus.jackson:jackson-xc', 'to_lib': 'com.fasterxml.jackson.core:jackson-core', 'pom_file': 'pom.xml', 'category': 12}, {'from_lib': 'org.codehaus.jackson:jackson-xc', 'to_lib': 'com.fasterxml.jackson.core:jackson-databind', 'pom_file': 'pom.xml', 'category': 12}]}",True,True,True,a65e49e6524e5c7bb07c5e4e4307d1720fcfc309
TremoloSecurity_OpenUnison__0ae5c4d88bf6f65066e7085749f81b8f5a0b5722__0ae5c4d88bf6f65066e7085749f81b8f5a0b5722,TremoloSecurity_OpenUnison,0ae5c4d88bf6f65066e7085749f81b8f5a0b5722,0ae5c4d88bf6f65066e7085749f81b8f5a0b5722,"{'start_commit_changes': '+org.apache.logging.log4j:log4j-api\n+org.apache.logging.log4j:log4j-core\n-log4j:log4j', 'end_commit_changes': '+org.apache.logging.log4j:log4j-api\n+org.apache.logging.log4j:log4j-core\n-log4j:log4j', 'start_commit_message': 'for #95 migrated to log4j2', 'end_commit_message': 'for #95 migrated to log4j2', 'start_commit_time': '2016-05-29', 'end_commit_time': '2016-05-29', 'lib_pairs': [{'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'unison/unison-sdk-types/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-core', 'pom_file': 'unison/unison-sdk-types/pom.xml', 'category': 11}]}",True,True,True,506a985b88bda529edaf925b5f3194b69a48dc2d
Wimmics_corese__936a23e22cf1abaff09a49026927697e6b2171a7__936a23e22cf1abaff09a49026927697e6b2171a7,Wimmics_corese,936a23e22cf1abaff09a49026927697e6b2171a7,936a23e22cf1abaff09a49026927697e6b2171a7,"{'start_commit_changes': '+org.apache.logging.log4j:log4j-api\n+org.apache.logging.log4j:log4j-core\n-log4j:log4j', 'end_commit_changes': '+org.apache.logging.log4j:log4j-api\n+org.apache.logging.log4j:log4j-core\n-log4j:log4j', 'start_commit_message': 'Updating log4j from 1.2.12 to 2.6.2\n', 'end_commit_message': 'Updating log4j from 1.2.12 to 2.6.2\n', 'start_commit_time': '2016-08-30', 'end_commit_time': '2016-08-30', 'lib_pairs': [{'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'kgengine/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'kgtool/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'kg-dqp/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'kggui/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-api', 'pom_file': 'kgserver/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-core', 'pom_file': 'kgengine/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-core', 'pom_file': 'kgtool/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-core', 'pom_file': 'kg-dqp/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-core', 'pom_file': 'kggui/pom.xml', 'category': 11}, {'from_lib': 'log4j:log4j', 'to_lib': 'org.apache.logging.log4j:log4j-core', 'pom_file': 'kgserver/pom.xml', 'category': 11}]}",True,True,True,1db3f33e73ff796e065cfd3c870d883b6445462a
afimb_chouette__45aaa983c274e2b6ab2f54af790109d98ef4cff9__45aaa983c274e2b6ab2f54af790109d98ef4cff9,afimb_chouette,45aaa983c274e2b6ab2f54af790109d98ef4cff9,45aaa983c274e2b6ab2f54af790109d98ef4cff9,"{'start_commit_changes': '+commons-io:commons-io\n-org.apache.commons:commons-io', 'end_commit_changes': '+commons-io:commons-io\n-org.apache.commons:commons-io', 'start_commit_message': 'sort validation report\n', 'end_commit_message': 'sort validation report\n', 'start_commit_time': '2011-02-23', 'end_commit_time': '2011-02-23', 'lib_pairs': [{'from_lib': 'org.apache.commons:commons-io', 'to_lib': 'commons-io:commons-io', 'pom_file': 'chouette-exchange-neptune/pom.xml', 'category': 0}, {'from_lib': 'org.apache.commons:commons-io', 'to_lib': 'commons-io:commons-io', 'pom_file': 'pom.xml', 'category': 0}]}",True,True,True,6c6c28d682704880d4eccafbf4a808a4d3bc3d2e
