id,fromLib,toLib,repoName,fileName,startCommit,endCommit,startCommitChanges,endCommitChanges,startCommitMessage,endCommitMessage,startCommitTime,endCommitTime,Category,repoOwner,repoSplitName,start_end_commit,repo_start_end_commit,prev_commit
7989,org.codehaus.jackson:jackson-jaxrs,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,apache_syncope,core/pom.xml,6cd08210d786af216a216e88e2f8dfaca06b9cfa,6cd08210d786af216a216e88e2f8dfaca06b9cfa,"+com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider
-org.codehaus.jackson:jackson-jaxrs","+com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider
-org.codehaus.jackson:jackson-jaxrs","Upgrading commons-lang and jackson to most updated versions + executing JAX-RS core tests with XML format waiting for some problems on CXF to get solved (and revert to JSON)

git-svn-id: https://svn.apache.org/repos/asf/syncope/trunk@1504477 13f79535-47bb-0310-9956-ffa450edef68
","Upgrading commons-lang and jackson to most updated versions + executing JAX-RS core tests with XML format waiting for some problems on CXF to get solved (and revert to JSON)

git-svn-id: https://svn.apache.org/repos/asf/syncope/trunk@1504477 13f79535-47bb-0310-9956-ffa450edef68
",2013-07-18,2013-07-18,12,apache,syncope,6cd08210d786af216a216e88e2f8dfaca06b9cfa__6cd08210d786af216a216e88e2f8dfaca06b9cfa,apache_syncope__6cd08210d786af216a216e88e2f8dfaca06b9cfa__6cd08210d786af216a216e88e2f8dfaca06b9cfa,
9649,org.hamcrest:hamcrest-all,org.hamcrest:java-hamcrest,apache_storm,external/storm-elasticsearch/pom.xml,3503dcea62c9bb9d004388773705ad362e7cc5dd,3503dcea62c9bb9d004388773705ad362e7cc5dd,"+org.mockito:mockito-core
+org.hamcrest:java-hamcrest
-org.mockito:mockito-all
-org.hamcrest:hamcrest-all","+org.mockito:mockito-core
+org.hamcrest:java-hamcrest
-org.mockito:mockito-all
-org.hamcrest:hamcrest-all","STORM-2698: Upgrade Mockito and Hamcrest to latest versions
","STORM-2698: Upgrade Mockito and Hamcrest to latest versions
",2017-10-09,2017-10-09,29,apache,storm,3503dcea62c9bb9d004388773705ad362e7cc5dd__3503dcea62c9bb9d004388773705ad362e7cc5dd,apache_storm__3503dcea62c9bb9d004388773705ad362e7cc5dd__3503dcea62c9bb9d004388773705ad362e7cc5dd,70d8ba9d5832c1893351dcfd0e285d287f221794
10237,org.json:json,com.alibaba:fastjson,apache_incubator-iotdb,tsfile/pom.xml,f46aeb17e5b8734eb4887f7940b2d1eb1ca06cff,f46aeb17e5b8734eb4887f7940b2d1eb1ca06cff,"+com.alibaba:fastjson
-org.json:json","+com.alibaba:fastjson
-org.json:json","replace org.json by alibaba.fastjson
","replace org.json by alibaba.fastjson
",2019-03-13,2019-03-13,12,apache,incubator-iotdb,f46aeb17e5b8734eb4887f7940b2d1eb1ca06cff__f46aeb17e5b8734eb4887f7940b2d1eb1ca06cff,apache_incubator-iotdb__f46aeb17e5b8734eb4887f7940b2d1eb1ca06cff__f46aeb17e5b8734eb4887f7940b2d1eb1ca06cff,
7828,org.codehaus.jackson:jackson-jaxrs,com.fasterxml.jackson.core:jackson-annotations,SeqWare_seqware,pom.xml,289947f7719911a70d398c3df5a07906fc667bf3,289947f7719911a70d398c3df5a07906fc667bf3,"+org.apache.commons:commons-compress
+com.fasterxml.jackson.dataformat:jackson-dataformat-yaml
+com.google.code.findbugs:jsr305
+org.yaml:snakeyaml
+asm:asm
+com.fasterxml.jackson.core:jackson-core
+org.raml:raml-parser
+com.fasterxml.jackson.core:jackson-databind
+commons-collections:commons-collections
+commons-digester:commons-digester
+com.fasterxml.jackson.core:jackson-annotations
-ch.enterag:zip64
-org.codehaus.jackson:jackson-xc
-org.codehaus.jackson:jackson-jaxrs","+org.apache.commons:commons-compress
+com.fasterxml.jackson.dataformat:jackson-dataformat-yaml
+com.google.code.findbugs:jsr305
+org.yaml:snakeyaml
+asm:asm
+com.fasterxml.jackson.core:jackson-core
+org.raml:raml-parser
+com.fasterxml.jackson.core:jackson-databind
+commons-collections:commons-collections
+commons-digester:commons-digester
+com.fasterxml.jackson.core:jackson-annotations
-ch.enterag:zip64
-org.codehaus.jackson:jackson-xc
-org.codehaus.jackson:jackson-jaxrs","Feature/update more dependencies (#342)

* Restlet 2.3.7, AWS, jersey Jackson update
* org.codehaus.jackson still used by some dependencies instead of com.fasterxml.jackson
* Make zip64 library more standard by using commons-compress instead of odd rare library
* can now use standard Linux tools like unzip to view bundles
* New tools are still compatible with old bundles
","Feature/update more dependencies (#342)

* Restlet 2.3.7, AWS, jersey Jackson update
* org.codehaus.jackson still used by some dependencies instead of com.fasterxml.jackson
* Make zip64 library more standard by using commons-compress instead of odd rare library
* can now use standard Linux tools like unzip to view bundles
* New tools are still compatible with old bundles
",2016-07-15,2016-07-15,12,SeqWare,seqware,289947f7719911a70d398c3df5a07906fc667bf3__289947f7719911a70d398c3df5a07906fc667bf3,SeqWare_seqware__289947f7719911a70d398c3df5a07906fc667bf3__289947f7719911a70d398c3df5a07906fc667bf3,a65e49e6524e5c7bb07c5e4e4307d1720fcfc309
6660,org.apache.commons:commons-io,commons-io:commons-io,appfuse_appfuse,archetypes/appfuse-modular-gwt/src/web/pom.xml,e6157cf6dcdc46521b8b1d640678a2ec901462a2,e6157cf6dcdc46521b8b1d640678a2ec901462a2,"+commons-io:commons-io
-org.apache.commons:commons-io","+commons-io:commons-io
-org.apache.commons:commons-io","WIP: review pom dependencies and versiones from upstream
","WIP: review pom dependencies and versiones from upstream
",2013-12-13,2013-12-13,0,appfuse,appfuse,e6157cf6dcdc46521b8b1d640678a2ec901462a2__e6157cf6dcdc46521b8b1d640678a2ec901462a2,appfuse_appfuse__e6157cf6dcdc46521b8b1d640678a2ec901462a2__e6157cf6dcdc46521b8b1d640678a2ec901462a2,af07cbd7c779f8737c003a8079d4bca34ef42e94
11270,org.powermock:powermock-module-junit4,org.mockito:mockito-core,apache_camel,components/camel-bonita/pom.xml,1e9f3ed611a758ffd49be254f7bf38d15ec7c738,1e9f3ed611a758ffd49be254f7bf38d15ec7c738,"+org.mockito:mockito-core
-org.powermock:powermock-api-mockito
-org.powermock:powermock-module-junit4","+org.mockito:mockito-core
-org.powermock:powermock-api-mockito
-org.powermock:powermock-module-junit4","CAMEL-11845: Migrated camel-bonita from powermock to mockito
","CAMEL-11845: Migrated camel-bonita from powermock to mockito
",2017-09-27,2017-09-27,29,apache,camel,1e9f3ed611a758ffd49be254f7bf38d15ec7c738__1e9f3ed611a758ffd49be254f7bf38d15ec7c738,apache_camel__1e9f3ed611a758ffd49be254f7bf38d15ec7c738__1e9f3ed611a758ffd49be254f7bf38d15ec7c738,
5600,log4j:log4j,commons-logging:commons-logging-api,apache_camel,camel-core/pom.xml,05c872497215f7f1b87d75f7087a703f80eeedfc,05c872497215f7f1b87d75f7087a703f80eeedfc,"+commons-logging:commons-logging-api
-commons-logging:commons-logging
-log4j:log4j","+commons-logging:commons-logging-api
-commons-logging:commons-logging
-log4j:log4j","some pom optimisations to switch to commons-logging-api to reduce dependency clutter

git-svn-id: https://svn.apache.org/repos/asf/activemq/camel/trunk@530025 13f79535-47bb-0310-9956-ffa450edef68
","some pom optimisations to switch to commons-logging-api to reduce dependency clutter

git-svn-id: https://svn.apache.org/repos/asf/activemq/camel/trunk@530025 13f79535-47bb-0310-9956-ffa450edef68
",2007-04-18,2007-04-18,11,apache,camel,05c872497215f7f1b87d75f7087a703f80eeedfc__05c872497215f7f1b87d75f7087a703f80eeedfc,apache_camel__05c872497215f7f1b87d75f7087a703f80eeedfc__05c872497215f7f1b87d75f7087a703f80eeedfc,2378853a05072c1ebd7e1733f82838cfb6f44812
2840,commons-logging:commons-logging,org.slf4j:slf4j-log4j12,emmanuelbernard_hibernate-core-ogm,testsuite/pom.xml,f0755725c91b67f6cb86c97c23aa7e0b30d03d8d,f0755725c91b67f6cb86c97c23aa7e0b30d03d8d,"+com.ibm:db2jcc
+org.slf4j:slf4j-log4j12
+com.ibm:db2jcc_license_cu
-commons-logging:commons-logging
-junit:junit
-com.ibm:ojdbc14","+com.ibm:db2jcc
+org.slf4j:slf4j-log4j12
+com.ibm:db2jcc_license_cu
-commons-logging:commons-logging
-junit:junit
-com.ibm:ojdbc14","HHH-2704 : migrate to maven (testsuite)
HHH-2696 : migrate to slf4j

git-svn-id: https://svn.jboss.org/repos/hibernate/core/trunk@12891 1b8cb986-b30d-0410-93ca-fae66ebed9b2
","HHH-2704 : migrate to maven (testsuite)
HHH-2696 : migrate to slf4j

git-svn-id: https://svn.jboss.org/repos/hibernate/core/trunk@12891 1b8cb986-b30d-0410-93ca-fae66ebed9b2
",2007-08-03,2007-08-03,11,emmanuelbernard,hibernate-core-ogm,f0755725c91b67f6cb86c97c23aa7e0b30d03d8d__f0755725c91b67f6cb86c97c23aa7e0b30d03d8d,emmanuelbernard_hibernate-core-ogm__f0755725c91b67f6cb86c97c23aa7e0b30d03d8d__f0755725c91b67f6cb86c97c23aa7e0b30d03d8d,6472dac702d32bf97b28ce44514994ca8e34cc0b
12987,org.slf4j:slf4j-log4j12,org.apache.logging.log4j:log4j-core,Flipkart_phantom,dashboard/pom.xml,1fdac2a76bbd0cd5757adcbdccb9bf975f92baac,1fdac2a76bbd0cd5757adcbdccb9bf975f92baac,"+org.apache.logging.log4j:log4j-1.2-api
+org.apache.logging.log4j:log4j-api
+org.apache.logging.log4j:log4j-slf4j-impl
+org.apache.logging.log4j:log4j-core
-org.slf4j:jcl-over-slf4j
-org.slf4j:slf4j-api
-org.slf4j:slf4j-log4j12","+org.apache.logging.log4j:log4j-1.2-api
+org.apache.logging.log4j:log4j-api
+org.apache.logging.log4j:log4j-slf4j-impl
+org.apache.logging.log4j:log4j-core
-org.slf4j:jcl-over-slf4j
-org.slf4j:slf4j-api
-org.slf4j:slf4j-log4j12",Changes to move to Trooper 2.0.0 and replace logback with log4j2,Changes to move to Trooper 2.0.0 and replace logback with log4j2,2016-05-23,2016-05-23,11,Flipkart,phantom,1fdac2a76bbd0cd5757adcbdccb9bf975f92baac__1fdac2a76bbd0cd5757adcbdccb9bf975f92baac,Flipkart_phantom__1fdac2a76bbd0cd5757adcbdccb9bf975f92baac__1fdac2a76bbd0cd5757adcbdccb9bf975f92baac,a2cff91a4e1a05577d7fa27f42bddf490bb68b9e
2215,commons-lang:commons-lang,org.apache.commons:commons-lang3,jbehave_jbehave-core,jbehave-core/pom.xml,674ad3cdb9b7f40f95d855b0f48d084c72a977b5,674ad3cdb9b7f40f95d855b0f48d084c72a977b5,"+org.apache.commons:commons-lang3
-commons-lang:commons-lang","+org.apache.commons:commons-lang3
-commons-lang:commons-lang","JBEHAVE-1155 Upgrade to Apache Commons Lang v3.1 from v2.6
","JBEHAVE-1155 Upgrade to Apache Commons Lang v3.1 from v2.6
",2016-03-11,2016-03-11,13,jbehave,jbehave-core,674ad3cdb9b7f40f95d855b0f48d084c72a977b5__674ad3cdb9b7f40f95d855b0f48d084c72a977b5,jbehave_jbehave-core__674ad3cdb9b7f40f95d855b0f48d084c72a977b5__674ad3cdb9b7f40f95d855b0f48d084c72a977b5,
